Msg,label,language
"Hi team, I am having teams issue, it's not working",ham,english
The principle of RSI stock selection,ham,english
The market is starting to rally across the board,ham,english
And we are have heavy rain and lightning and wind storm here in our area,ham,english
Who ever was on shift be it L1 or L2 make sure you answer the call,ham,english
"Hi, [FINAL CALL] SHAANDAAR Home Loan offer | Rates from 6.75% | Up to Rs. 30L | Tenure of up to 30 yrs | Apply | TnC apply bnkbzr.co/XOMk3RGscw",spam,english
Regardless of whether the allegations succeed today's market will be affected,ham,english
I will be back online,ham,english
"Do not click on unknown links offering cashback, attractive returns, quick loans, job offers or requests for money. -RBI",spam,english
"Only on Vi - unused Data from Monday to Friday? Binge and use this Data with Rollover on Weekends! Know more, dial 121369 or click bit.ly/GetViApp",spam,english
With monika,ham,english
"LIVE Election exit polls. Watch all latest news with ABP Ananda, News18 Bangla on Vi Movies & TV app! Click bit.ly/Vi-newsm2",spam,english
What to do,ham,english
"Your prediction of the market is so accurate Ã°ÂÂÂI bought a call option at 24130 points, and it made me a lot of money today",ham,english
"""00 daily, send Ã°ÂÂÂCheck-inÃ°ÂÂÂ to the assistant in the group chat to receive activity rewards. Ã°ÂÂÂ""",ham,english
Join to teams meeting,ham,english
Hi team I do have internet issues please do call me for any help,ham,english
Call him,ham,english
"This seems to have no rules, and it does not conform to the characteristics that the stock market will fall after the holiday that I said today. However, please observe carefully the performance of the two trading days after the holiday. The probability that the stock market will start to adjust downward on the first or second trading day after the holiday is more than 90%.",ham,english
"Since the last major drop, it hasn't reached a new low. If it can't fall further, it means a rebound is likely",ham,english
"Dear Greencard Member, Here's an offer exclusively for you: Shop for Rs2000 at Pantaloons & get a cashback of Rs500 Up To 60% OFF SALE- yet another reason to visit Pantaloons Click tltx.in/vhtfi for our Best Sellers catalogue TC. Offer ends 04Aug. Cashback will be credited on 10Aug as reward points",spam,english
"2/2 Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. UNLIMITED 5G data over & above your plan limit, claim on Airtel Thanks App.",spam,english
"Dear Customer, Rs.500 to 10 lucky winners & Rs.50 to 1,000 Early Birds as STAR Clubcard points! To share your feedback, click https://bit.ly/3QfJ07p T&C",spam,english
"Of course, I don't mean to criticize anyone, I just want to ask everyone a question, what are you investing inÃ¢ÂÂ",ham,english
"Hi ,",ham,english
"Sell Ã¢ÂÂÃ¢ÂÂquickly when the price reaches 2,012Ã¢ÂÂÃ¯Â¸ÂÃ¢ÂÂÃ¯Â¸Â",ham,english
If the index drops tomorrow our PAYTM shares bought today should not be significantly affected,ham,english
Hi Rithika,ham,english
Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store.Valid till 21st Mar 2021. TnC: bit.ly/3eNrGpI,spam,english
""" Good morning, investors! It's time for the morning session. Let's start by focusing on the international markets.""",ham,english
Good morning Mr Arvind Singh Check in,ham,english
Rquest yoy to put some update even on sat n sunday.... as we are in 24 / 7 support,ham,english
Max Fashion Freedom SALE is here with Buy1 Get1 FREE on wide range of garments! Offer valid ONLY from 12-15 Aug Shop in-store or online m.maxfsn.in/FXnJRoo0 TnC,spam,english
"Had some network issue, am connecting back",ham,english
"It should be likely. With global markets rising, we probably won't lag behind either",ham,english
I'm able to think independently so I can understand greed and fear Ã°ÂÂÂÃ°ÂÂÂ,ham,english
If anyone required keep it,ham,english
Restarting my laptop,ham,english
Surprisingly it was Reliance Industries that fell the most,ham,english
But it didnt work,ham,english
"Want security that is customized for your home? Get Airtel Xsafe, an advanced home surveillance solution with personalized expert installation. https://i.airtel.in/XSafeHassle-Free",spam,english
Union Budget 2024 LIVE! Watch Full coverage for Free on CNBC Awaaz on Airtel Xstream Play. https://open.airtelxstream.in/UnionBudget2024-CNBC-en,spam,english
Hi Team I will join late by 30 min today .,ham,english
Real estate and metals sectors remain relatively strong,ham,english
"ItÂs really tough time for our team, some of us are infected due to COVID or Viral, please take required precautions, donÂt go outside or try avoid gathering. Please be safe",ham,english
The decline is only temporary the valuation is still very high,ham,english
I am not able to use chrome or ie,ham,english
"Yeah, I kept 31st Nov",ham,english
Ok good,ham,english
Buy1 Get1 FREE with Lenskart Gold Membership +50% Cashback till 28Feb! Explore Spring'21 Collection in Statement Styles & Colors!TnC lskt.me/Spring 1800111111,spam,english
I also got Professor Sohan Sharma's courseware last night. I haven't read it yet.,ham,english
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 37/Kg,Cucumber Rs 21/Kg,Banana Yellaki 12Pc Pk Rs 42/Kg,Also at SMART &SMART Point store bit.ly/3p9qmRT 1Dec,TC",spam,english
Joined,ham,english
Airtel network is low signal strength,ham,english
Sure,ham,english
Aggressive entry after deep retracement,ham,english
"Congratulations! Rs 240 Cashback* is waiting for you. Create Airtel wallet now and claim rewardsmini for free to get Rs 240 Cashback* on Recharges, Bill Payments & Shopping.i.airtel.in/q9EWf3xZjzb",spam,english
"As a public figure, I can promise here",ham,english
"Airtel Thanks Rewards for valuable customers like you! Enjoy exclusive rewards like Amazon Prime. Claim on Airtel Thanks App,TnC i.airtel.in/thanks-rewards",spam,english
"FREE 2GB DATA on the Airtel Thanks App! Yes, claim your FREE coupon now. HURRY i.airtel.in/2GB_AI",spam,english
"Team, I will be joining in next 20 to 30 minutes",ham,english
Hello! Bigg Boss OTT 2 ka winner kaun hoga? Dekhiye Grand Finale FREE mein only on JioCinema with Salman Khan http://1kx.in/XGtHmE0Qv2d,spam,english
""" The rupee traded in a narrow range against the U.S. dollar in the interbank foreign exchange market, opening at 83.95 and eventually closing at 83.97 provisional, unchanged from the previous closing price. On Monday, the rupee fell by 2 paise against the dollar, closing at 83.97 paise. On August 5, the Indian currency dropped by 37 paise against the dollar, closing at a historic low of 84.09 paise.""",ham,english
Shares of Ipca Labs slipped 2.82 per cent to Rs 1312.55 per share on the BSE in FridayÃ¢ÂÂs early morning trade. This came after brokerages contended that the pharmaceutical company reported mixed financials for the April-June quarter of the financial year 2024-25 (Q1FY25).,ham,english
"It's nice to think about, but when big institutions operate in the stock market, they usually have their picks in advance. There's no way retail investors can get that information",ham,english
"Ganesh Chaturthi @VISHAL BUY 1 GET 1 FREE- Mens Jeans,Tshirt Ladies Kurta,Tshirt Kids Jeans,Frock + 2kg Sugar FREE on 1500 + 5% BACK on SBI",spam,english
My mother has doctor appointment at 1 pm.,ham,english
"Guys It is 30 Nov , Not 31st ??",ham,english
How was your weekend ??,ham,english
Selling LLOYDS was well-timed,ham,english
"The stock market is in a downward trend, and undervalued stocks are more likely to riseÃ°ÂÂÂ",ham,english
The S&P 500 index is already approaching the all time high it set last month,ham,english
"I just called and for 2 min it was ringing,",ham,english
Hi team I'll be joining late today by 10,ham,english
"Congratulations! Your, Rs.719.0 recharge offers you FREE 83 DAYS of access to live sports, blockbusters hits like Naalaam Mura, Aanandam Paramanandam, Shefeekkinte Santhosham.Stream now. https://open.airtelxstream.in/WCF719ii",spam,english
Yes what you said is very correct Ã°ÂÂÂ,ham,english
??,ham,english
"Good evening, students of Bajaj Finserv's official group.",ham,english
"Congrats 99467696XX, Rs.5500 in Your Rummy Account Register For FREE Use Code: SPECIAL5500 Play Rummy & Win Cash rp17.in/G31B5-250DFA923",spam,english
There is power cut in our area since 12 am,ham,english
Will join by 10 to 15 mins late,ham,english
The master's predictions about the market in the past two weeks are completely correct. I believe the market may still fall... I will follow your advice and only do short-term trading and low-priced stocks.,ham,english
"Hello! Riya Assistant, please send me a copy of your evening presentation document later. Thank you",ham,english
"Play FREE Rummy & Win Rs.2,00,000 today on Junglee Rummy! Also, Get Rs.5500 Welcome Bonus on first deposit! Download the app now: https://bit.ly/wow5500",spam,english
Hello Your Unlimited pack MRP is expiring on2021-03-19 00:00:00.Now recharge from home with App Click http://bit.ly/GetMVA4,spam,english
So that I can't create a global impact,ham,english
India vs NZ Test Series Finals. Watch LIVE with 1yr Disney+ Hotstar VIP on 401 recharge. Also get 100GB Data+Unlimited Calls for 28days. Click bit.ly/ViHotstar1,spam,english
The current exchange rate fluctuations are quite significant as well.,ham,english
????????????????????????,ham,english
Cloudnine administrator has assigned 1 course to you. These courses need to be completed by 31-07-2021. Please click on the link to start your training. https://cloudnine.medlern.com/dashboard,spam,english
"2. A death cross pattern occurs when the DIF line crosses below the DEA line from above, which may signal a bearish trend",ham,english
"Dear Jithu, we noticed you have been missing out on all the best offers & deals at shoppersstop.com So here's something exclusively for YOU... Click bit.ly/MissFeb Use code F10N5 & get 10% off on your purchase T&C, on min bill of Rs.2000",spam,english
International Market Overview,ham,english
It's a pity that many people in the group didn't keep up with this stock,ham,english
Hello Your Unlimited pack MRP is expiring on2021-07-09 00:00:00.Now recharge from home with App Click http://bit.ly/GetMVA4,spam,english
3GB DATA everyday! Recharge with Rs 901 & get 3GB/Day+48GB Extra Data+Unlimited Calls:84 Days. Also get 1Yr Disney+ Hotstar Mobile. Click bit.ly/ViHotstar12,spam,english
The trend of stock prices rising continuously is an upward trend,ham,english
Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 11th Apr 2021. Click bit.ly/3wBGIWk for TnC,spam,english
Buy1 Get1 FREE with Lenskart Gold Membership. Explore latest Oversized Eyeglasses Collection in Metals & Acetates for Modern Retro Vibe! TnC Visit lskt.me/JRE,spam,english
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 18th Apr 2021. Click bit.ly/3mGelS6 for TnC,spam,english
If we have issues with MDC site we need to write mail to Steve mullan and engage Dxc through mail,ham,english
Okay thank you for the updateÃ°ÂÂÂ,ham,english
"Content Dhamaka Offer! Get access to SONYLiv, EROSnow and 16+ OTTs on Airtel Xstream App at Rs149 for 30 Days. i.airtel.in/RC149",spam,english
"I have tried .. was able talk to Sakti. Line was very clear. Earlier experience might be a technical issue.However, have asked the team to be attentive..",ham,english
+916232014309.vcf (file attached),ham,english
"Thank you for being a valued STYLE UNION customer. Hope you are happy with your purchase. To view your E-Receipt, Click http://bl1.in/DRcphrbvaa STYLUN",spam,english
Ok,ham,english
Sat and Sunday updates on this individual tickets ?,ham,english
I hope this stock hits the upper circuit again tomorrow,ham,english
"Mic Drop Offer- only for 24 hours! Wynk Premium now @Rs 299 for 12 months. Get unlimited downloads, Hello Tunes & ad-free music. Get now https://open.wynk.in/PI2-299",spam,english
"Previously strong in-house stock, shame I didn't buy it",ham,english
Although it may not be that favorable the chances of a Fed rate cut in September are still quite high due to the rising unemployment rate,ham,english
"Best offers for you 1 839=UL call 2GB/D,84D 2 779=UL CL 1.5GB/D,90D 3 719=UL CL 1.5GB/D,84D 4 359=UL CL 2.5GB/D,1M 5 999=UL CL 2.5GB/D,84D 6 699=UL call 3GB/D,56D 7 549=ULCL 2GB/D,56D 8 2999=UL CL 2GB/D, 1Y 9 299=UL call 2GB/D,28D To check your balance, validity, call tariff and best recharges, dial *121*51# or download Airtel Thanks App, click www.airtel.in/5/LBNV",spam,english
This can be considered the rebound phase after holding the support level,ham,english
I can't even operate skype,ham,english
"Hi, we saw that you could not complete your recharge. You can now try again to recharge your Airtel number. Click now i.airtel.in/RechargeNow",spam,english
"Alert! Your Vi Unlimited pack EXPIRES in 6 Days. Recharge with best offers: bit.ly/Vi121NAT 1)299:5GB+4GB/D+UL,28D 2)699:4GB/D+UL,84D",spam,english
Ã Â¤ÂµÃ Â¤Â¿Ã Â¤ÂÃ Â¤Â¯ Ã Â¤Â¬Ã Â¤ÂÃ Â¤Â¾Ã Â¤Â,ham,english
The Psychology of Trends,ham,english
So we don't have power to operate,ham,english
Yes KK,ham,english
Can you give me some suggestions?,ham,english
I've already sold and will wait for the Professor's stock recommendations this afternoon,ham,english
"Weekend Deals at SMART POINT Store,B1G1 B Natural Mix Fruit/Guava Juice,Save Rs 25 on Liril Lime Soap/Cinthol Cool Deo Soap 125gX3,Click bit.ly/386b2Ln T&C",spam,english
"Every Click is rewarding when u shop at Pantaloons! Click tlux.in/mkFkj & Get EXTRA Rs750 OFF on your shopping, Use Code: PT750 TC. on shopping of Rs3499",spam,english
"If you are not satisfied with your current returns, or you are suffering from serious losses, there may be the following reasons",ham,english
The market weakening now is an opportunity for us,ham,english
The Hindenburg report hasn't had a significant impact on the broader market,ham,english
"Wednesday Bonus deals at JioMart,Bangalore! Tomato Rs 12/Kg,Mango Totapuri Rs 19/Kg,Bottle Gourd Rs 19/Kg,Click bit.ly/3dnWQ5D or visit SMART Superstore/SMART Point Store,valid on 30 June T&C",spam,english
Sure jerold,ham,english
I will try through mobile,ham,english
Notice,ham,english
?image omitted,ham,english
"First 30 days FREE of any new Airtel service, just for YOU! Just upgrade to Airtel Black & get OTT + TV Channels + Superfast WiFi. i.airtel.in/blackPreDSL",spam,english
Good for next time ????,ham,english
"Watch Scam 2003 for free! Your 30 days of FREE Airtel Xstream Play access is NOW ACTIVE! Get 15+ OTTs - Sony Live, LionsgatePlay, Fancode & more! Limited time offer. Click Below! open.airtelxstream.in/WatchForFree-sms",spam,english
"Pack on 8089XXX424 will expire soon! Get free access to 1 channel on Airtel Xstream App, 1.5GB/day, UL calls for 84 days at Rs719. i.airtel.in/RechargeNow",spam,english
And tell them that it's already approved by Ranganatha sir.. and also we have email approved,ham,english
"Biggest Karwa Chauth Offer@ VISHAL MEGA MART Sugar 1kg-Rs9 ONLY TODAY! + FREE GIFT-VIP Trolley, Duffle Bag + 7.5% SBI Cashback TnC",spam,english
"Team, I may login little late, got stuck in temple",ham,english
"Congrats, Get Credit Limit up to Rs 4 lakh on American Express Membership Rewards(R) credit card. T&C Apply. Click- http://1kx.in/3DF3kO Team PB",spam,english
Covid cases & lockdown updates - Stay safe & get LIVE news with Manorama news on Vi Movies & TV app! Click bit.ly/Vi-moviess,spam,english
It was for testing purpose. Most of the fields are dummy. However today Dodda reddy sink up with Sai Geetha for correct purpose and procedure. I will co ordinate with Dodda and will create the Document,ham,english
Congralutation! Unlimited Calls 1.5GB/day along with 100 SMS/day has been credited in your account for 28 days. For more best offers call 505,spam,english
Although there has been a recovery it has not been ideal,ham,english
"If I let you bet on me now, betting that I will win the Olympic long-distance running championship, would you dare to betÃ¢ÂÂ",ham,english
2 site handover sare happening,ham,english
However this doesn't affect Reliance Industries' ranking,ham,english
IRFC,ham,english
It has already risen over 7% and reached our second target price,ham,english
Lenskart Diwali Sale! Enjoy Buy 1 Get 1 Free with upto 40% Off on your favourite styles.TnC Shop at lskt.me/z4 or Visit your nearest store lskt.me/u4 now!,spam,english
"Yes, but the assistant said yesterday that he would share the technology tomorrow night.",ham,english
"Welcome to Vi Karnataka . Stay connected with Vi network while you roam. Enjoy free incoming calls on your Mobile number. Outgoing Calls & data will be charged as per your tariff. However if you are on an Unlimited pack, you also enjoy free outgoing calls as well as Data (as per quota), anywhere in India. Please enable Data Roaming to enjoy our superior Data experience. For free ROAMING PROFILE caller tunes, click bit.ly/ROAMi",spam,english
Is there any small Light in touchpad ?,ham,english
Who are on shift now ?,ham,english
Shudnt be a problem,ham,english
"Recently, gold and platinum have risen quite a bit",ham,english
The Federal Reserve is already on the path to cutting rates it's just a matter of when,ham,english
Joined....,ham,english
"Good evening, students in Bajaj Finserv's official group. I am Vijay bajaj, Bajaj Finserv's chief risk assessment expert. Ã°ÂÂ¤ÂWelcome new members to the group. There is less than a month left before the XAI International Securities Trading Competition startsÃ¢ÂÂ. After the competition officially starts, I will use advanced investment techniques and Bajaj Finserv's internal trading strategy to lead everyone to make more than 50% actual profit per week (please all students stay in the group to witness, cheer for us and the country)",ham,english
Will join shortly,ham,english
Please imagine,ham,english
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get FREE Wynk Music and Hellotunes, valid as per current pack open.wynk.in/HTLapu",spam,english
"Thank you, Assistant, for sharing with us even during your break. I will study your content carefully",ham,english
"Team, we have 2 site handover, I would request night shift engg to join call",ham,english
Yes did it,ham,english
The person you were calling at 15:16 is now available to take calls. Click here to call them back i.airtel.in/RMCAAlrt,spam,english
Hi All,ham,english
Upto 50% OFF + BUY1GET1 FREE on Eye & Sunglasses at Lenskart's Father's Day Sale. Offer valid till 20 June. Hurry limited Stocks! TnC Shop lskt.me/FatherDay,spam,english
Kya hua,ham,english
Should the price touch the retracement levels?,ham,english
We are getting this error,ham,english
????,ham,english
Good evening everyone Check in,ham,english
Hello Your Unlimited pack MRP is expiring on2021-09-03 00:00:00.Now recharge from home with App Click http://bit.ly/GetMVA4,spam,english
Hi team,ham,english
"Afghan-Taliban crisis: Watch LIVE updates with Manorama news, NDTV & more on Vi Movies & TV app. Click bit.ly/Vi-moviess1",spam,english
I'm also waiting for the market to improve before adjusting my investment portfolio,ham,english
Have you informed anybody?,ham,english
Yes sir;,ham,english
eRupee 50 Cashback unlocked with Federal Bank Digital Rupee App. Download Now. Click https://fdrl.in/t/sAK1uH for T&C. -Federal Bank,spam,english
Pls join the call,ham,english
"I don't think that should be the case, if it does increase business, that would be a good thing indeed, and on the contrary decrease, wouldn't that be less profitable.",ham,english
So the idea that the Fed will cut rates in September is just market speculation,ham,english
My laptop is taking time to restart,ham,english
"Dear Digi Yatri, Your OTP for Digi Yatra App is 670016 Have a seamless and health-risk-free journey. Thanks, Digi Yatra Foundation wdgq610/72T",spam,english
Kk my network is used up,ham,english
"Dear Customer, Rs.500 to 10 lucky winners & Rs.50 to 1,000 Early Birds as STAR Clubcard points! To share your feedback, click https://bit.ly/3QfJ07p T&C",spam,english
https,ham,english
Now buying a SIM online is quick & easy! Switch to Airtel prepaid from comfort of your home and get the SIM delivered for FREE. Click i.airtel.in/p-ds3,spam,english
Unable to connect internet,ham,english
"And even if after trying the power button for 15 mins, it's not starting",ham,english
I think they forgot that they are in support ??,ham,english
"Its MY SALE MY WAY at shoppersstop.com Enjoy upto 50% OFF + Use Code AC2K & get Rs.250 off on Rs.2500 & Rs.500 off on Rs.4000 Click bit.ly/SS_ESS to shop for your favourite brands in Watches, Bags & Accessories + Get offers on First Citizen Citi credit card & HDFC Bank cards bit.ly/SSEssTC T&C apply",spam,english
Ã°ÂÂÂÃ°ÂÂÂ,ham,english
Miniklub! A one stop shop for all your baby needs. Click the link https://bit.ly/3DN6H0e and get your offer.,spam,english
Restarting my laptop,ham,english
Launching Vi Best offers !!! 299= Unlimited calls +1.5GB/Day 28 days 479= Unlimited calls +1.5GB/Day 56 days To recharge Click bit.ly/ViRC20,spam,english
Joined,ham,english
Thank you bro,ham,english
"Claim upto Rs.250 Cashback! You are eligible for a cashback on first 5 UPI transactions done via Airtel Thanks App, Tnc apply. Click i.airtel.in/PayAndEarn",spam,english
??,ham,english
I will join in 2-3 mins,ham,english
"Anjaam Pathiraa, Uriyadi, Bigil, Kakshi: Amminippilla, Manorama News, LaLiga football matches on MTV & more on Vi Movies & TV app!Click bit.ly/Vi-mv34",spam,english
I shared the progresss,ham,english
""" If u use Fibonacci Retracements level with other concepts confirming like trend line, pivot point, or any dynamic support or resistanceÃÂ willÃÂ beÃÂ better""",ham,english
"I sent mail for Long term WFH, pls reply me ASAP",ham,english
After the release of the Hindenburg study the market began to fall,ham,english
"Welcome to Vi Tamil Nadu . Stay connected with Vi network while you roam. Enjoy free incoming calls on your Mobile number. Outgoing Calls & data will be charged as per your tariff. However if you are on an Unlimited pack, you also enjoy free outgoing calls as well as Data (as per quota), anywhere in India. Please enable Data Roaming to enjoy our superior Data experience. For free ROAMING PROFILE caller tunes, click bit.ly/ROAMi",spam,english
"Since the XAI International Securities Trading Competition is divided into profit ranking and voting ranking, the Bajaj Finserv official group is still recruiting new members. At present, the number of followers of the Bajaj Finserv official group may have exceeded 150,000. This makes me realize that I need to be cautious in every move I make, because I am not investing one person's funds, but the funds of the entire group of students. After the competition starts, I have to ensure that each member can make a profit of more than 30% per week, so that I can get a higher profit ranking, and more people will vote for meÃ¢ÂÂÃ¯Â¸Â",ham,english
"Regarding this point, I want to clarify",ham,english
Oh ok,ham,english
Would you be able to login to shift on time atleast ?,ham,english
I am just informing in case I am late,ham,english
"Dear Customer, Thank you for the transaction done today at SBI 70555 branch. Plz click on the given link to share your experience. https://crcf.sbi.co.in/ccf/home/GetFeedback?TxnDate=041023&TxnType=001060&JNo=20254308824. The feedback may be provided before 8 am tomorrow. No Personal Information would be captured. SBI",spam,english
I am facing some issue,ham,english
Okay no problem,ham,english
How about outlook??,ham,english
It's the start of a new week,ham,english
This technical indicator is really useful. May I ask if the chart above is based on the hourly or daily time frameÃ¯Â¼Â,ham,english
Got it thank you Assistant,ham,english
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get FREE Wynk Music and Hellotuneff and best recharges on Airtel Thanks App. Refer your friends to Airtel & earn Rs100 coupon i.airtel.in/ref",spam,english
Rithika this is acknowledged,ham,english
Lockdown in Kerala from May 8th - Get all LIVE news from the safety of your home with Manorama News on Vi Movies & TV app. Click bit.ly/Vi-newsm2,spam,english
Okay,ham,english
"Wednesday Bonus@JioMart,Bangalore!Onion Rs 29/Kg,Pear Indian Rs 89/Kg,Cabbage Rs 12/Pc,Also at SMART &SMART Point store bit.ly/3yk4kiC 4Aug,TC",spam,english
I have a network issues at home,ham,english
"Dear employee, get Rs. 250 cashback on KYC completion within 3 days and 100% FREE transactions till 31st Dec. To get your hard-earned salary in 30 seconds on Refyne, Sign up & Complete KYC to use the best service weurl.co/BiHiYt Team Refyne",spam,english
"ONLY for U! Double DATA+ZEE5. Recharge with 299, get 1yr ZEE5 subscription, 4GB/Day + Unlimited calls, Val-28days! Offer ends soon. T&C Apply Click bit.ly/Vi-zr",spam,english
It didn't really make much of a difference so maybe the market will still go up tomorrow,ham,english
Trading strategy for tomorrowÃ°ÂÂÂ»,ham,english
"We can only wait for the market to change; there's not much else we can do. If the major funds push up our stocks, that would be perfect",ham,english
"Hi all, good morning I am exiting from this group.... thanks all for support",ham,english
Yes,ham,english
Buying towards the close is a bit more secure,ham,english
Isn't housing and service sector inflation a significant component of the CPI data?,ham,english
"Today is Friday, the last trading day of the week. Will the professor recommend any stocks today? ItÃ¢ÂÂs been three days without making any trades",ham,english
??,ham,english
???????????,ham,english
4,ham,english
Thanks Ranjit for the help,ham,english
"Dear we can offer you to work online & earn 8000-20000/day according to your performance, no time limit, contact: https://wa.me/919678462191 BBKUMR",spam,english
Okay kk,ham,english
"For cricket lovers like you! Watch LIVE T20 matches on any app with up to 30x faster data speeds with Airtel 5G plus. Get extra 12GB with Rs118 data pack, valid as per current pack validity. Click i.airtel.in/data-breacher",spam,english
"Team, having some network issues...will join soon",ham,english
"Top Brands, Pure, Hygienic Milk at best prices available in SMART Point Store,Nandini Tnd Milk500ml Rs18.50,Heritage Tnd Milk500ml Rs 21,Click bit.ly/2T3zdWw TC",spam,english
"Enjoy 4GB data valid till your current pack validity.Also get EXTRA 2GB on your next recharge of Rs65 for your Airtel Mobile, only on Airtel Thanks App. Click i.airtel.in/rech_now",spam,english
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get 30 days of free trial of Amazon Prime Video Mobile Edition with your recharge, T&C apply. Claim now u.airtel.in/PVME",spam,english
I think I can understand something,ham,english
+916232014309.vcf (file attached),ham,english
Ok,ham,english
There is some issues in DAL SITE,ham,english
Sure,ham,english
????,ham,english
Recharge & Get 2GB FREE on Airtel Thanks App! Enjoy FREE 2GB data when you recharge with selected Prepaid plans. T&C. Download Thanks App now i.airtel.in/free_2GBdata,spam,english
"Rs 500 cashback + 1 year FREE subscription of Amazon Prime & Disney+Hotstar + FREE 30 days on Airtel Xstream Fiber. Switch to Airtel Black now, click i.airtel.in/blackPreDSL or call us at 8826655555",spam,english
Is it working ?,ham,english
Good morning everyone Check in,ham,english
There's a lot of content to understand carefully,ham,english
Those who font join today will be marked one LoP in this month,ham,english
Al of sudden,ham,english
I am facing some network issue,ham,english
Anyways I am going.. I thought it good to learn for this project and their future support,ham,english
"Data Alert! 97.05MB left on Data pack, post which std. charges apply or lower speeds as per plan. Click bit.ly/ViDataRC or dial *121# to buy a Data pack.",spam,english
I am added in admin list,ham,english
"Weekend Deals @SMART Point Store,Rs 20 OFF Biscuits Large Pk 350g onw,Rs 80 OFF Tide Det Pwdr 4Kg+1Kg,Sarvottam Rice Bran Oil 1l Rs 139,Click bit.ly/2TndiZj T&C",spam,english
You are just 1 STEP away from getting First 30 days FREE of any new Airtel service! Just upgrade to Airtel Black & enjoy OTT + TV Channels + Superfast WiFi. Get Now i.airtel.in/blackPreDSL,spam,english
I will mail him now,ham,english
Hi Ranjith,ham,english
"Nifty is likely to rise before the opening in the morning today, which is good news. Let us witness whether there will be a ""festival effect"" in the stock market today Ã°ÂÂÂÃ¢ÂÂÃ°ÂÂÂ¨",ham,english
"Power went down .. wifi disconnected. Will join ,Once power restored.",ham,english
So it is clear now,ham,english
?This message was deleted.,ham,english
"Watch ZEE5's series Sunflower-Enjoy the thrill, drama & the humor! Get it with Vi Rs405 recharge. Also get 90GB, Unlimited calls for 28 Days! Click bit.ly/Vi-zr",spam,english
Bowman is a Trump appointee and Trump had long wanted to replace Powell but never had the opportunity,ham,english
"Due to pre cyclonic, there is no power. Don't know when will it come.",ham,english
T20! Cricket's Biggest Tournament starts from 19th Sep. Watch LIVE T20 matches daily only on Disney+ Hotstar. Get 1 year Disney+ Hotstar mobile pack with new Vi 501 recharge + 100GB Data (3GB/Day+16GB) + Unlimited Calls; 28Days. Recharge now. Click bit.ly/ViHotstar1,spam,english
Oh ok,ham,english
"Tickets Booked! Download your M-ticket from https://bmsurl.co/VKXzodzIzc and show it at the venue entrance to scan and enter. Here is your Booking ID - WMXXX73 for The Priest (U/A) on Wed, 24 Mar, 2021 09:45pm, at PVR: Vega City, Bannerghatta Road(AUDI 09), Seats: CLASSIC. - D8, D9, D10 Please note that you don't require physical tickets to enter the venue. Don't go hungry! Click here to pre-book your meal: https://bmsurl.co/DEKA6sijvU This transaction can be cancelled up to 20 min(s) before the show as per cinema cancellation policy. In view of the Covid-19 situation, please follow these safety guidelines: bmsurl.co/TLUlJ3uunN",spam,english
"Yes... After last Monday, I feel that investing money has become difficult and confusing",ham,english
I'm going to follow the professor's instructions and buy it today,ham,english
Today's closing is likely to be strong,ham,english
"Hello! We are now on Whatsapp! For Best Offers, recharges, services & more, simply click wa.me/919654297000?text=balance",spam,english
My laptop is not swiching on...So i may not be available,ham,english
Actually today is my weak off and I had some plan arranged beforehand,ham,english
Tech stocks and banking stocks remain key sectors for foreign investors to buy and sell,ham,english
At 2,ham,english
"Riya has not replied to me yet, I left a message since last night",ham,english
So will the stock market be red or green tomorrow?,ham,english
"Dear Amazon urgently recruiting for part-time jobs, you can earn 1000-3000Rs every day ,Click here to get yours: wa.me/918858599810 LFPL",spam,english
"Nurses who wish to take up studies in Canada, INSCOL offers you the best programs in Canadian public colleges. Call 0484-4390999",spam,english
Stay Home!Stay Safe!Recharge from home with Phonepe for minimum Rs 149 and get reward vouchers upto Rs500. Click https://phon.pe/vikr,spam,english
Thank u all??,ham,english
"The reason why we didn't sell stocks today is that the market did not form a rapid upward trend as we expected, and panic still exists. More retail investors choose to withdraw at a loss.",ham,english
Awesome,ham,english
The CPI data being close to expectations is just an example of selling the news.,ham,english
Hi team will be joining 15 min late,ham,english
Chennai,ham,english
I will be join little bit late,ham,english
Hi team I successfully screwed up my sim so I need to get a new one tomorrow still it might take 24 hours to activate the nth mean time I am reachable on,ham,english
"Hi team, I might join 30 min late.",ham,english
Do not click on suspicious link or download App which promises fake part /full time jobs.,spam,english
Hi team I'll be joining late today by 10,ham,english
Sure,ham,english
Restarting my laptop,ham,english
Ack,ham,english
Ok,ham,english
Guys please join handover call,ham,english
"Hopefully, I can Power should be back before that",ham,english
This gives a good understanding of the concepts,ham,english
